LAKE,LAT,LON,Feb-08,Feb-08,Mar-08,Mar-08,Mar-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,May-08,Jun-08,Jun-08,Jun-08,Jul-08,Jul-08,Aug-08,Aug-08,Sep-08,Sep-08,Sep-08,Oct-08,Oct-08,Oct-08,Oct-08,Oct-08,Nov-08,Nov-08,Nov-08,Nov-08,Nov-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Jan-09,Jan-09,Jan-09,Jan-09,Jan-09,Feb-09,Feb-09,Feb-09,Feb-09,Feb-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,May-09,May-09,May-09,May-09,Jun-09,Jun-09,Jun-09,Jul-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Sep-09,Sep-09,Sep-09,Sep-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Dec-09,Dec-09,Jan-10,Jan-10,Jan-10,Jan-10,Feb-10,Feb-10,Feb-10,Feb-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,May-10,May-10,May-10,May-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jul-10,Jul-10,Jul-10,Aug-10,Aug-10,Aug-10,Aug-10,Sep-10,Sep-10,Sep-10,Sep-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Nov-10,Dec-10,Dec-10,Dec-10,Dec-10,Dec-10,Jan-11,Jan-11,Feb-11,Feb-11,Feb-11,Mar-11,Mar-11,Mar-11,Mar-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,May-11,May-11,May-11,May-11,May-11,May-11,Jun-11,Jun-11,Jun-11,Jun-11,Jul-11,Jul-11,Jul-11,Aug-11,Aug-11,Sep-11,Sep-11,Sep-11,Sep-11,Sep-11,Oct-11,Oct-11,Oct-11,Oct-11,Nov-11,Nov-11,Nov-11,Nov-11,Dec-11
"Ariana, Lake",28.08,-81.8,15548,8451,4153,3234,3154,2179,1975,2245,1783,2960,4716,6566,7869,12078,12213,7202,5230,2825,2744,1900,1805,4539,5317,6267,9851,6963,8748,6885,3550,3017,3268,2336,2305,4552,5118,7688,6683,7594,7489,6882,3497,2754,2800,1976,2634,3053,4938,6498,28.08,81.8,15548,8451,4153,3234,3154,2179,1975,2245,1783,2960,4716,6566,7869,12078,12213,7202,5230,2825,2744,1900,1805,4539,5317,6267,9851,6963,8748,6885,3550,3017,3268,2336,2305,4552,5118,7688,6683,7594,7489,6882,3497,2754,2800,1976,2634,3053,4938,6498,28.08,81.8,15548,8451,4153,3234,3154,2179,1975,2245,1783,2960,4716,6566,7869,12078,12213,7202,5230,2825,2744,1900,1805,4539,5317,6267,9851,6963,8748,6885,3550,3017,3268,2336,2305,4552,5118,7688,6683,7594,7489,6882,3497,2754,2800,1976,2634,3053,4938,6498,28.08,81.8,15548,8451,4153,3234,3154,2179,1975,2245,1783,2960,4716,6566,7869,12078,12213,7202,5230,2825,2744,1900,1805,4539,5317,6267,9851,6963,8748,6885,3550,3017,3268,2336,2305,4552,5118,7688,6683,7594,7489,6882,3497
"Arietta, Lake",28.1,-81.8,20999,13527,8531,6976,7541,5056,4421,5528,4527,8635,13273,12282,18050,26598,18175,11007,9492,5629,5991,4215,4462,8970,10761,10786,30692,25122,13542,10198,6208,4915,5041,3383,3790,7636,10745,15081,14294,30544,19886,11416,6267,5666,6418,5232,8571,8362,12555,14995,28.1,81.8,20999,13527,8531,6976,7541,5056,4421,5528,4527,8635,13273,12282,18050,26598,18175,11007,9492,5629,5991,4215,4462,8970,10761,10786,30692,25122,13542,10198,6208,4915,5041,3383,3790,7636,10745,15081,14294,30544,19886,11416,6267,5666,6418,5232,8571,8362,12555,14995,28.1,81.8,20999,13527,8531,6976,7541,5056,4421,5528,4527,8635,13273,12282,18050,26598,18175,11007,9492,5629,5991,4215,4462,8970,10761,10786,30692,25122,13542,10198,6208,4915,5041,3383,3790,7636,10745,15081,14294,30544,19886,11416,6267,5666,6418,5232,8571,8362,12555,14995,28.1,81.8,20999,13527,8531,6976,7541,5056,4421,5528,4527,8635,13273,12282,18050,26598,18175,11007,9492,5629,5991,4215,4462,8970,10761,10786,30692,25122,13542,10198,6208,4915,5041,3383,3790,7636,10745,15081,14294,30544,19886,11416,6267
Arkabutla Lake,34.75,-90.08,16726,10612,5699,4725,4993,3431,3315,3692,2785,5546,8372,8678,12102,18005,14006,8512,6568,4418,4933,3286,3389,7701,7705,8591,10827,9729,11374,9049,4801,4234,4601,3267,3504,6962,7234,11917,8127,10333,12944,9523,5345,4217,4473,3445,5145,6000,7713,10960,34.75,90.08,16726,10612,5699,4725,4993,3431,3315,3692,2785,5546,8372,8678,12102,18005,14006,8512,6568,4418,4933,3286,3389,7701,7705,8591,10827,9729,11374,9049,4801,4234,4601,3267,3504,6962,7234,11917,8127,10333,12944,9523,5345,4217,4473,3445,5145,6000,7713,10960,34.75,90.08,16726,10612,5699,4725,4993,3431,3315,3692,2785,5546,8372,8678,12102,18005,14006,8512,6568,4418,4933,3286,3389,7701,7705,8591,10827,9729,11374,9049,4801,4234,4601,3267,3504,6962,7234,11917,8127,10333,12944,9523,5345,4217,4473,3445,5145,6000,7713,10960,34.75,90.08,16726,10612,5699,4725,4993,3431,3315,3692,2785,5546,8372,8678,12102,18005,14006,8512,6568,4418,4933,3286,3389,7701,7705,8591,10827,9729,11374,9049,4801,4234,4601,3267,3504,6962,7234,11917,8127,10333,12944,9523,5345
Armstrong Slough,44.13,-95.7,7250,4721,3151,2855,2343,1815,1393,2393,2711,7175,5923,9579,13034,10392,6631,3391,3141,1958,2276,2257,3532,7498,5946,6534,9138,7895,6359,4582,2994,2147,2628,2025,3028,5081,4931,8152,6335,8445,6805,5044,2818,2151,2590,1992,3612,4093,4670,8525,44.13,95.7,7250,4721,3151,2855,2343,1815,1393,2393,2711,7175,5923,9579,13034,10392,6631,3391,3141,1958,2276,2257,3532,7498,5946,6534,9138,7895,6359,4582,2994,2147,2628,2025,3028,5081,4931,8152,6335,8445,6805,5044,2818,2151,2590,1992,3612,4093,4670,8525,44.13,95.7,7250,4721,3151,2855,2343,1815,1393,2393,2711,7175,5923,9579,13034,10392,6631,3391,3141,1958,2276,2257,3532,7498,5946,6534,9138,7895,6359,4582,2994,2147,2628,2025,3028,5081,4931,8152,6335,8445,6805,5044,2818,2151,2590,1992,3612,4093,4670,8525,44.13,95.7,7250,4721,3151,2855,2343,1815,1393,2393,2711,7175,5923,9579,13034,10392,6631,3391,3141,1958,2276,2257,3532,7498,5946,6534,9138,7895,6359,4582,2994,2147,2628,2025,3028,5081,4931,8152,6335,8445,6805,5044,2818
"Ashby, Lake",28.93,-81.09,6032,3133,1630,1271,1352,1042,998,1103,825,1944,3365,2843,4862,5404,4320,2761,2134,1307,1310,1031,1117,2315,3213,8173,8794,2541,2089,2836,1781,1412,1436,1077,1171,2218,2862,4871,4056,4780,4809,2871,1594,1408,1605,1279,1686,1950,2153,2954,28.93,81.09,6032,3133,1630,1271,1352,1042,998,1103,825,1944,3365,2843,4862,5404,4320,2761,2134,1307,1310,1031,1117,2315,3213,8173,8794,2541,2089,2836,1781,1412,1436,1077,1171,2218,2862,4871,4056,4780,4809,2871,1594,1408,1605,1279,1686,1950,2153,2954,28.93,81.09,6032,3133,1630,1271,1352,1042,998,1103,825,1944,3365,2843,4862,5404,4320,2761,2134,1307,1310,1031,1117,2315,3213,8173,8794,2541,2089,2836,1781,1412,1436,1077,1171,2218,2862,4871,4056,4780,4809,2871,1594,1408,1605,1279,1686,1950,2153,2954,28.93,81.09,6032,3133,1630,1271,1352,1042,998,1103,825,1944,3365,2843,4862,5404,4320,2761,2134,1307,1310,1031,1117,2315,3213,8173,8794,2541,2089,2836,1781,1412,1436,1077,1171,2218,2862,4871,4056,4780,4809,2871,1594
Ashley Lake,48.2,-114.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2041,3160,4985,5981,5656,4670,2656,2235,2391,1708,1592,2118,2435,4961,5838,7422,6302,4663,2645,2181,2253,1647,1948,1779,2582,4271,48.2,114.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2041,3160,4985,5981,5656,4670,2656,2235,2391,1708,1592,2118,2435,4961,5838,7422,6302,4663,2645,2181,2253,1647,1948,1779,2582,4271,48.2,114.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2041,3160,4985,5981,5656,4670,2656,2235,2391,1708,1592,2118,2435,4961,5838,7422,6302,4663,2645,2181,2253,1647,1948,1779,2582,4271,48.2,114.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2041,3160,4985,5981,5656,4670,2656,2235,2391,1708,1592,2118,2435,4961,5838,7422,6302,4663,2645
Ashokan Reservoir,41.97,-74.15,7358,3973,2248,2057,2539,1710,1623,2396,2175,3967,3482,4078,6622,5889,3905,3575,2889,2117,2355,2146,2467,5235,4223,4523,7903,5017,4782,3943,2902,2461,2653,2222,2220,3835,3932,6535,3994,4257,4427,4394,2574,2159,2787,2286,3244,3176,3281,4812,41.97,74.15,7358,3973,2248,2057,2539,1710,1623,2396,2175,3967,3482,4078,6622,5889,3905,3575,2889,2117,2355,2146,2467,5235,4223,4523,7903,5017,4782,3943,2902,2461,2653,2222,2220,3835,3932,6535,3994,4257,4427,4394,2574,2159,2787,2286,3244,3176,3281,4812,41.97,74.15,7358,3973,2248,2057,2539,1710,1623,2396,2175,3967,3482,4078,6622,5889,3905,3575,2889,2117,2355,2146,2467,5235,4223,4523,7903,5017,4782,3943,2902,2461,2653,2222,2220,3835,3932,6535,3994,4257,4427,4394,2574,2159,2787,2286,3244,3176,3281,4812,41.97,74.15,7358,3973,2248,2057,2539,1710,1623,2396,2175,3967,3482,4078,6622,5889,3905,3575,2889,2117,2355,2146,2467,5235,4223,4523,7903,5017,4782,3943,2902,2461,2653,2222,2220,3835,3932,6535,3994,4257,4427,4394,2574
Ashokan Reservoir,41.96,-74.24,10010,5136,2645,2492,2892,1840,1679,2019,1664,5233,5144,6084,8734,8568,6968,4394,2903,1783,2256,1812,2525,5860,4927,5943,9591,7918,5095,4522,2523,2364,2563,1807,1931,4157,5913,7816,5626,5819,5189,4823,2524,2130,2455,2086,3340,3340,4486,5644,41.96,74.24,10010,5136,2645,2492,2892,1840,1679,2019,1664,5233,5144,6084,8734,8568,6968,4394,2903,1783,2256,1812,2525,5860,4927,5943,9591,7918,5095,4522,2523,2364,2563,1807,1931,4157,5913,7816,5626,5819,5189,4823,2524,2130,2455,2086,3340,3340,4486,5644,41.96,74.24,10010,5136,2645,2492,2892,1840,1679,2019,1664,5233,5144,6084,8734,8568,6968,4394,2903,1783,2256,1812,2525,5860,4927,5943,9591,7918,5095,4522,2523,2364,2563,1807,1931,4157,5913,7816,5626,5819,5189,4823,2524,2130,2455,2086,3340,3340,4486,5644,41.96,74.24,10010,5136,2645,2492,2892,1840,1679,2019,1664,5233,5144,6084,8734,8568,6968,4394,2903,1783,2256,1812,2525,5860,4927,5943,9591,7918,5095,4522,2523,2364,2563,1807,1931,4157,5913,7816,5626,5819,5189,4823,2524
Assawompset Pond,41.84,-70.92,12848,7731,4637,3672,3271,2129,2198,5991,5642,12073,10023,9291,13482,14010,10375,9405,8933,6112,6546,3062,4102,12692,8526,13726,15618,8337,7783,8611,4976,3777,4033,3002,3311,6708,6680,11621,12792,14758,9686,6492,3856,3567,3956,2677,3694,4196,5832,8364,41.84,70.92,12848,7731,4637,3672,3271,2129,2198,5991,5642,12073,10023,9291,13482,14010,10375,9405,8933,6112,6546,3062,4102,12692,8526,13726,15618,8337,7783,8611,4976,3777,4033,3002,3311,6708,6680,11621,12792,14758,9686,6492,3856,3567,3956,2677,3694,4196,5832,8364,41.84,70.92,12848,7731,4637,3672,3271,2129,2198,5991,5642,12073,10023,9291,13482,14010,10375,9405,8933,6112,6546,3062,4102,12692,8526,13726,15618,8337,7783,8611,4976,3777,4033,3002,3311,6708,6680,11621,12792,14758,9686,6492,3856,3567,3956,2677,3694,4196,5832,8364,41.84,70.92,12848,7731,4637,3672,3271,2129,2198,5991,5642,12073,10023,9291,13482,14010,10375,9405,8933,6112,6546,3062,4102,12692,8526,13726,15618,8337,7783,8611,4976,3777,4033,3002,3311,6708,6680,11621,12792,14758,9686,6492,3856
Atoka Reservoir,34.5,-96.07,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172,1836,1978,1413,1850,1970,3001,4295,34.5,96.07,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172,1836,1978,1413,1850,1970,3001,4295,34.5,96.07,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172,1836,1978,1413,1850,1970,3001,4295,34.5,96.07,7192,3951,2153,1803,1889,1369,1237,1527,1361,3362,3956,3833,6000,7103,6055,3450,2833,1740,2046,1562,1755,4045,3474,3507,5376,5909,4735,3560,1976,1602,1796,1381,1520,2266,3151,6457,5439,5908,4866,3725,2172
Attean Pond,45.57,-70.29,4742,2853,2128,1747,1670,1186,1173,1527,1452,3569,3208,3077,4716,8549,5425,2524,2159,1364,1494,1213,1567,3160,2797,2808,4485,5434,3878,2786,1830,1504,1630,1172,1346,2247,3029,6182,5177,4667,3802,2817,1707,1433,1547,1262,2458,2821,3525,4474,45.57,70.29,4742,2853,2128,1747,1670,1186,1173,1527,1452,3569,3208,3077,4716,8549,5425,2524,2159,1364,1494,1213,1567,3160,2797,2808,4485,5434,3878,2786,1830,1504,1630,1172,1346,2247,3029,6182,5177,4667,3802,2817,1707,1433,1547,1262,2458,2821,3525,4474,45.57,70.29,4742,2853,2128,1747,1670,1186,1173,1527,1452,3569,3208,3077,4716,8549,5425,2524,2159,1364,1494,1213,1567,3160,2797,2808,4485,5434,3878,2786,1830,1504,1630,1172,1346,2247,3029,6182,5177,4667,3802,2817,1707,1433,1547,1262,2458,2821,3525,4474,45.57,70.29,4742,2853,2128,1747,1670,1186,1173,1527,1452,3569,3208,3077,4716,8549,5425,2524,2159,1364,1494,1213,1567,3160,2797,2808,4485,5434,3878,2786,1830,1504,1630,1172,1346,2247,3029,6182,5177,4667,3802,2817,1707
Au Train Lake,46.4,-86.84,11290,6769,4520,3823,3845,2916,2552,4179,3716,11317,8348,10391,18041,14935,8767,5738,6078,3525,4538,3768,5130,11590,9862,15602,14746,10694,9051,8668,4502,3581,3554,2773,3744,6402,6924,11308,12073,13855,8412,5046,2478,2016,2905,1909,3321,3650,4104,5952,46.4,86.84,11290,6769,4520,3823,3845,2916,2552,4179,3716,11317,8348,10391,18041,14935,8767,5738,6078,3525,4538,3768,5130,11590,9862,15602,14746,10694,9051,8668,4502,3581,3554,2773,3744,6402,6924,11308,12073,13855,8412,5046,2478,2016,2905,1909,3321,3650,4104,5952,46.4,86.84,11290,6769,4520,3823,3845,2916,2552,4179,3716,11317,8348,10391,18041,14935,8767,5738,6078,3525,4538,3768,5130,11590,9862,15602,14746,10694,9051,8668,4502,3581,3554,2773,3744,6402,6924,11308,12073,13855,8412,5046,2478,2016,2905,1909,3321,3650,4104,5952,46.4,86.84,11290,6769,4520,3823,3845,2916,2552,4179,3716,11317,8348,10391,18041,14935,8767,5738,6078,3525,4538,3768,5130,11590,9862,15602,14746,10694,9051,8668,4502,3581,3554,2773,3744,6402,6924,11308,12073,13855,8412,5046,2478
"Auburn, Lake",44.15,-70.25,16223,7416,3490,3091,3390,2619,2366,2643,2091,5156,7962,8489,14064,15478,9004,5433,4256,2752,3160,2264,2112,4300,5420,5758,8228,6519,8017,8789,4108,2831,2793,1932,1998,3890,4742,7823,6702,6365,7620,7486,4034,2896,2862,2098,2941,3721,4592,6368,44.15,70.25,16223,7416,3490,3091,3390,2619,2366,2643,2091,5156,7962,8489,14064,15478,9004,5433,4256,2752,3160,2264,2112,4300,5420,5758,8228,6519,8017,8789,4108,2831,2793,1932,1998,3890,4742,7823,6702,6365,7620,7486,4034,2896,2862,2098,2941,3721,4592,6368,44.15,70.25,16223,7416,3490,3091,3390,2619,2366,2643,2091,5156,7962,8489,14064,15478,9004,5433,4256,2752,3160,2264,2112,4300,5420,5758,8228,6519,8017,8789,4108,2831,2793,1932,1998,3890,4742,7823,6702,6365,7620,7486,4034,2896,2862,2098,2941,3721,4592,6368,44.15,70.25,16223,7416,3490,3091,3390,2619,2366,2643,2091,5156,7962,8489,14064,15478,9004,5433,4256,2752,3160,2264,2112,4300,5420,5758,8228,6519,8017,8789,4108,2831,2793,1932,1998,3890,4742,7823,6702,6365,7620,7486,4034
Aziscohos Lake,45.02,-71,19744,13538,7893,6454,6464,4571,3977,4249,3315,9496,13076,12665,18067,27744,18908,9506,8144,5166,5484,4278,5441,12387,11649,15437,22872,21505,11357,8957,5149,4352,4837,3803,4370,7876,10531,16543,13231,29378,14743,9552,5977,5816,6842,5320,7884,9500,13200,16380,45.02,71,19744,13538,7893,6454,6464,4571,3977,4249,3315,9496,13076,12665,18067,27744,18908,9506,8144,5166,5484,4278,5441,12387,11649,15437,22872,21505,11357,8957,5149,4352,4837,3803,4370,7876,10531,16543,13231,29378,14743,9552,5977,5816,6842,5320,7884,9500,13200,16380,45.02,71,19744,13538,7893,6454,6464,4571,3977,4249,3315,9496,13076,12665,18067,27744,18908,9506,8144,5166,5484,4278,5441,12387,11649,15437,22872,21505,11357,8957,5149,4352,4837,3803,4370,7876,10531,16543,13231,29378,14743,9552,5977,5816,6842,5320,7884,9500,13200,16380,45.02,71,19744,13538,7893,6454,6464,4571,3977,4249,3315,9496,13076,12665,18067,27744,18908,9506,8144,5166,5484,4278,5441,12387,11649,15437,22872,21505,11357,8957,5149,4352,4837,3803,4370,7876,10531,16543,13231,29378,14743,9552,5977
B A Steinhagen Lake,30.86,-94.19,21239,14427,8118,6410,6990,4786,4294,5170,4330,6740,7875,8524,13783,17047,15737,10870,9263,5532,5726,3821,4237,10825,11947,18439,25376,11232,10408,9595,5981,5020,5805,4464,5028,7359,8681,12570,10167,11686,14412,13156,6646,5202,5685,4244,5954,6060,8404,12296,30.86,94.19,21239,14427,8118,6410,6990,4786,4294,5170,4330,6740,7875,8524,13783,17047,15737,10870,9263,5532,5726,3821,4237,10825,11947,18439,25376,11232,10408,9595,5981,5020,5805,4464,5028,7359,8681,12570,10167,11686,14412,13156,6646,5202,5685,4244,5954,6060,8404,12296,30.86,94.19,21239,14427,8118,6410,6990,4786,4294,5170,4330,6740,7875,8524,13783,17047,15737,10870,9263,5532,5726,3821,4237,10825,11947,18439,25376,11232,10408,9595,5981,5020,5805,4464,5028,7359,8681,12570,10167,11686,14412,13156,6646,5202,5685,4244,5954,6060,8404,12296,30.86,94.19,21239,14427,8118,6410,6990,4786,4294,5170,4330,6740,7875,8524,13783,17047,15737,10870,9263,5532,5726,3821,4237,10825,11947,18439,25376,11232,10408,9595,5981,5020,5805,4464,5028,7359,8681,12570,10167,11686,14412,13156,6646
Bahia Grande,26.05,-97.3,0,0,0,0,0,0,0,0,0,3867,5791,5906,7946,13314,12624,8230,6341,3493,3688,2475,2429,6698,8676,9732,15192,7469,6070,7307,4569,3633,3615,2713,2730,4452,5147,8979,9222,17464,10696,7458,3915,3026,3162,2212,2949,3404,4765,7070,26.05,97.3,0,0,0,0,0,0,0,0,0,3867,5791,5906,7946,13314,12624,8230,6341,3493,3688,2475,2429,6698,8676,9732,15192,7469,6070,7307,4569,3633,3615,2713,2730,4452,5147,8979,9222,17464,10696,7458,3915,3026,3162,2212,2949,3404,4765,7070,26.05,97.3,0,0,0,0,0,0,0,0,0,3867,5791,5906,7946,13314,12624,8230,6341,3493,3688,2475,2429,6698,8676,9732,15192,7469,6070,7307,4569,3633,3615,2713,2730,4452,5147,8979,9222,17464,10696,7458,3915,3026,3162,2212,2949,3404,4765,7070,26.05,97.3,0,0,0,0,0,0,0,0,0,3867,5791,5906,7946,13314,12624,8230,6341,3493,3688,2475,2429,6698,8676,9732,15192,7469,6070,7307,4569,3633,3615,2713,2730,4452,5147,8979,9222,17464,10696,7458,3915
Baker Lake,48.7,-121.6,17985,8709,4583,3800,4768,3205,2993,3433,2810,11689,13382,10976,21950,23027,13582,8727,6685,3741,4623,3692,6077,10859,9312,17430,18471,13168,11076,11832,5859,4106,4361,3548,4049,7612,7116,8346,11733,12827,11170,8339,5253,4674,4486,3022,4522,5182,6677,10506,48.7,121.6,17985,8709,4583,3800,4768,3205,2993,3433,2810,11689,13382,10976,21950,23027,13582,8727,6685,3741,4623,3692,6077,10859,9312,17430,18471,13168,11076,11832,5859,4106,4361,3548,4049,7612,7116,8346,11733,12827,11170,8339,5253,4674,4486,3022,4522,5182,6677,10506,48.7,121.6,17985,8709,4583,3800,4768,3205,2993,3433,2810,11689,13382,10976,21950,23027,13582,8727,6685,3741,4623,3692,6077,10859,9312,17430,18471,13168,11076,11832,5859,4106,4361,3548,4049,7612,7116,8346,11733,12827,11170,8339,5253,4674,4486,3022,4522,5182,6677,10506,48.7,121.6,17985,8709,4583,3800,4768,3205,2993,3433,2810,11689,13382,10976,21950,23027,13582,8727,6685,3741,4623,3692,6077,10859,9312,17430,18471,13168,11076,11832,5859,4106,4361,3548,4049,7612,7116,8346,11733,12827,11170,8339,5253
Bald Eagle Lake,45.12,-93.01,0,0,0,0,0,0,0,0,0,7577,9639,10807,20888,27092,16283,10604,9305,5825,6041,4263,4191,8507,12768,13227,22221,16391,12974,12197,7416,6051,6652,4660,4649,6838,8497,13883,11856,20580,17676,13640,7627,6346,7028,5164,6279,5780,9497,11037,45.12,93.01,0,0,0,0,0,0,0,0,0,7577,9639,10807,20888,27092,16283,10604,9305,5825,6041,4263,4191,8507,12768,13227,22221,16391,12974,12197,7416,6051,6652,4660,4649,6838,8497,13883,11856,20580,17676,13640,7627,6346,7028,5164,6279,5780,9497,11037,45.12,93.01,0,0,0,0,0,0,0,0,0,7577,9639,10807,20888,27092,16283,10604,9305,5825,6041,4263,4191,8507,12768,13227,22221,16391,12974,12197,7416,6051,6652,4660,4649,6838,8497,13883,11856,20580,17676,13640,7627,6346,7028,5164,6279,5780,9497,11037,45.12,93.01,0,0,0,0,0,0,0,0,0,7577,9639,10807,20888,27092,16283,10604,9305,5825,6041,4263,4191,8507,12768,13227,22221,16391,12974,12197,7416,6051,6652,4660,4649,6838,8497,13883,11856,20580,17676,13640,7627
Baldwin Power Plant Cooling Lake,38.22,-89.87,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583,3461,3340,2162,2477,2297,4425,6770,38.22,89.87,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583,3461,3340,2162,2477,2297,4425,6770,38.22,89.87,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583,3461,3340,2162,2477,2297,4425,6770,38.22,89.87,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583
Ball Club Lake,47.36,-93.94,13546,6737,3304,2586,2648,1921,1721,1957,1608,3544,5794,6586,10928,18983,13393,6146,4401,2423,2527,1788,2136,5581,6107,6910,9232,12817,11003,6087,3179,2515,2812,1855,1910,3973,6289,20929,9274,8467,7697,5988,3344,2852,3020,2221,2946,4098,5727,6762,47.36,93.94,13546,6737,3304,2586,2648,1921,1721,1957,1608,3544,5794,6586,10928,18983,13393,6146,4401,2423,2527,1788,2136,5581,6107,6910,9232,12817,11003,6087,3179,2515,2812,1855,1910,3973,6289,20929,9274,8467,7697,5988,3344,2852,3020,2221,2946,4098,5727,6762,47.36,93.94,13546,6737,3304,2586,2648,1921,1721,1957,1608,3544,5794,6586,10928,18983,13393,6146,4401,2423,2527,1788,2136,5581,6107,6910,9232,12817,11003,6087,3179,2515,2812,1855,1910,3973,6289,20929,9274,8467,7697,5988,3344,2852,3020,2221,2946,4098,5727,6762,47.36,93.94,13546,6737,3304,2586,2648,1921,1721,1957,1608,3544,5794,6586,10928,18983,13393,6146,4401,2423,2527,1788,2136,5581,6107,6910,9232,12817,11003,6087,3179,2515,2812,1855,1910,3973,6289,20929,9274,8467,7697,5988,3344
Bards Lake,36.78,-87.9,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263,2888,2940,1994,3282,3803,4726,7754,36.78,87.9,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263,2888,2940,1994,3282,3803,4726,7754,36.78,87.9,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263,2888,2940,1994,3282,3803,4726,7754,36.78,87.9,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263
